date,country,continent,flights,new_cases,stringency_index
2020-01-08,Spain,EU,836,0.0,0.0
2020-01-08,Finland,EU,286,0.0,0.0
2020-01-08,France,EU,1258,0.0,0.0
2020-01-08,United Kingdom,EU,2005,0.0,0.0
2020-01-08,Greece,EU,111,0.0,0.0
2020-01-08,Hong Kong,AS,423,,13.89
2020-01-08,Croatia,EU,45,0.0,0.0
2020-01-08,Hungary,EU,131,0.0,0.0
2020-01-08,Indonesia,AS,70,0.0,5.56
2020-01-08,Ireland,EU,278,0.0,0.0
2020-01-08,Israel,AS,122,0.0,0.0
2020-01-08,India,AS,1637,0.0,0.0
2020-01-08,Iran,AS,11,0.0,0.0
2020-01-08,Iceland,EU,24,0.0,0.0
2020-01-08,Italy,EU,1166,0.0,0.0
2020-01-08,Japan,AS,821,0.0,2.78
2020-01-08,South Korea,AS,629,0.0,0.0
2020-01-08,Kazakhstan,AS,50,0.0,0.0
2020-01-08,Lebanon,AS,52,0.0,0.0
2020-01-08,Sri Lanka,AS,66,0.0,0.0
2020-01-08,Lithuania,EU,10,0.0,0.0
2020-01-08,Luxembourg,EU,84,0.0,0.0
2020-01-08,Latvia,EU,104,0.0,0.0
2020-01-08,Malta,EU,37,0.0,0.0
2020-01-08,Malaysia,AS,678,0.0,0.0
2020-01-08,Netherlands,EU,552,0.0,0.0
2020-01-08,Norway,EU,463,0.0,0.0
2020-01-08,Philippines,AS,340,0.0,0.0
2020-01-08,Pakistan,AS,8,0.0,0.0
2020-01-08,Poland,EU,402,0.0,0.0
2020-01-08,Portugal,EU,327,0.0,0.0
2020-01-08,Qatar,AS,282,0.0,0.0
2020-01-08,Romania,EU,49,0.0,0.0
2020-01-08,Russia,EU,1119,0.0,0.0
2020-01-08,Saudi Arabia,AS,213,0.0,0.0
2020-01-08,Sweden,EU,415,0.0,0.0
2020-01-08,Singapore,AS,403,0.0,13.89
2020-01-08,Slovenia,EU,19,0.0,0.0
2020-01-08,Slovakia,EU,25,0.0,0.0
2020-01-08,Thailand,AS,645,0.0,0.0
2020-01-08,Turkey,AS,410,0.0,0.0
2020-01-08,Taiwan,AS,405,,8.33
2020-01-08,Ukraine,EU,83,0.0,0.0
2020-01-08,Vietnam,AS,21,0.0,0.0
2020-01-09,United Arab Emirates,AS,838,0.0,0.0
2020-01-09,Armenia,AS,30,0.0,
2020-01-09,Austria,EU,368,0.0,0.0
2020-01-09,Bangladesh,AS,4,0.0,0.0
2020-01-09,Belgium,EU,368,0.0,0.0
2020-01-09,Bulgaria,EU,6,0.0,0.0
2020-01-09,Bahrain,AS,104,0.0,0.0
2020-01-09,Brunei,AS,27,0.0,11.11
2020-01-09,Belarus,EU,54,0.0,0.0
2020-01-09,Switzerland,EU,641,0.0,0.0
2020-01-09,China,AS,450,0.0,2.78
2020-01-09,Czechia,EU,142,0.0,0.0
2020-01-09,Germany,EU,2201,0.0,0.0
2020-01-09,Denmark,EU,364,0.0,0.0
2020-01-09,Estonia,EU,47,0.0,0.0
2020-01-09,Spain,EU,878,0.0,0.0
2020-01-09,Finland,EU,305,0.0,0.0
2020-01-09,France,EU,1317,0.0,0.0
2020-01-09,United Kingdom,EU,2218,0.0,0.0
2020-01-09,Greece,EU,78,0.0,0.0
2020-01-09,Hong Kong,AS,469,,13.89
